,0,DeltaPressure
0,-990.8462866715133,-450.5599999999995
1,-1062.7557365069129,-651.6599999999999
2,-773.3910138940136,-201.10000000000042
3,-217.59170288430792,-46.77000000000044
4,-217.59170288430792,-110.85000000000036
5,-217.59170288430792,-156.69000000000003
6,-217.59170288430792,-159.37000000000037
7,-278.39291266154754,-134.9300000000003
8,-217.59170288430792,-64.07999999999993
9,-217.59170288430792,-109.91999999999962
10,-217.59170288430792,-112.59999999999992
11,-250.48689846209422,-88.15999999999985
12,-217.59170288430792,-45.83999999999968
13,-217.59170288430792,-48.51999999999998
14,-242.4513123332209,-24.079999999999927
15,-217.59170288430792,-2.680000000000291
16,-1244.4798200910245,-952.5099999999996
17,-1307.9150942830727,-1702.0899999999995
18,-869.4481607067828,-749.5799999999997
19,-477.39418191893145,-131.32999999999993
20,-602.3252663311193,-133.45000000000027
21,-908.8413226056006,-514.8900000000003
22,-860.7723226056005,-440.22000000000025
23,-1199.5893226056005,-720.3000000000003
24,-586.591323194099,-2.1200000000003456
25,-758.9001160396055,-383.5600000000004
26,-758.9001160396055,-308.8900000000003
27,-766.5860468390675,-588.9700000000003
28,-218.78447323826035,-381.44000000000005
29,-218.78447323826035,-306.77
30,-460.73558450754325,-586.8499999999998
31,-236.09617748304828,-205.40999999999985
32,-386.1761144723755,-280.0799999999999
33,-1114.4183107918616,-1142.94
34,-1196.988102760021,-101.09000000000015
35,-477.39418191893145,-54.9699999999998
36,-1125.7079415584415,-567.6300000000001
37,-1261.4239897177326,-1462.7799999999993
38,-1261.4239897177326,-895.1499999999997
39,-658.7571176016256,-85.01000000000022
40,-1265.3488361971586,-938.9800000000004
41,-1020.0902849468639,-1121.33
42,-1020.0902849468639,-820.54
43,-1020.330955007584,-2334.2500000000005
44,-1020.0902849468639,-853.9700000000003
45,-1020.0902849468639,-1036.3199999999997
46,-1020.0902849468639,-735.5299999999997
47,-956.4915147049587,-2249.24
48,-624.3243247444827,-182.34999999999943
49,-1345.1307028638253,-1395.27
50,-1074.2154033842662,-1212.9200000000005
51,-902.9728895066722,-1513.7100000000007
52,-1066.4079853418002,-1456.0299999999993
53,-1671.7734081200822,-2088.68
54,-914.7800284044772,-632.6500000000002
55,-410.5400112280451,-168.40999999999985
56,-370.852818519764,-28.38999999999988
57,-376.6464152810913,-142.15999999999985
58,-448.4353463432173,-201.69000000000003
59,-448.4353463432173,-254.19000000000003
60,-240.44446975048794,-33.2800000000002
61,-386.945989227198,-85.7800000000002
62,-240.44446975048794,-113.76999999999998
63,-326.86107932657507,-173.30000000000018
64,-326.86107932657507,-225.80000000000013
65,-370.852818519764,-59.5300000000002
66,-370.852818519764,-112.03000000000021
67,-240.44446975048794,-52.5
68,-1014.9560000589576,-379.9200000000001
69,-1476.4469372315084,-839.5699999999997
70,-651.0846980524159,-459.6499999999997
71,-184.01745477697193,-56.03999999999997
72,-1036.71007156665,-269.0600000000004
73,-1167.404461279411,-394.4300000000003
74,-1036.71007156665,-421.12000000000086
75,-960.4608660047928,-450.0
