Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,S02minusS92,-2129.3900000000003
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,S12minusS92,-1353.3400000000001
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L12minusL6,-564.1400000000003
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L14minusL6,-572.79
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L16minusL6,-586.79
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L18minusL6,-874.0599999999995
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L14minusL12,-8.649999999999636
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L16minusL12,-22.649999999999636
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L18minusL12,-309.91999999999916
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L16minusL14,-14.0
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L18minusL14,-301.2699999999995
1,-2678.1300000000047,9389.910000000149,4477.12,-2496.02,9.0,L18minusL16,-287.2699999999995
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,S02minusS92,-450.5599999999995
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,S12minusS92,-651.6599999999999
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,S12minusS02,-201.10000000000036
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L6minusL1,-46.77000000000044
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L12minusL1,-110.85000000000036
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L14minusL1,-156.69000000000005
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L16minusL1,-159.37000000000035
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L18minusL1,-134.9300000000003
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L12minusL6,-64.07999999999993
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L14minusL6,-109.91999999999962
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L16minusL6,-112.59999999999991
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L18minusL6,-88.15999999999985
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L14minusL12,-45.83999999999969
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L16minusL12,-48.51999999999998
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L18minusL12,-24.079999999999927
2,-3153.7299999999814,8607.660000000149,3271.85,-2450.41,0.0,L16minusL14,-2.680000000000291
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,S02minusS92,-743.8499999999999
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,S12minusS92,-1211.79
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,S12minusS02,-467.94000000000005
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L6minusL1,-154.0600000000004
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L12minusL1,-192.87000000000035
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L14minusL1,-264.69000000000005
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L16minusL1,-306.44000000000005
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L18minusL1,-348.6100000000001
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L12minusL6,-38.809999999999945
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L14minusL6,-110.62999999999965
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L16minusL6,-152.37999999999965
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L18minusL6,-194.54999999999973
