,x,y,Z,DeltaPressure
0,-4077.719999999972,7186.5099999997765,-2396.25,-1142.29
1,-4077.719999999972,7186.5099999997765,-2396.25,-668.4299999999997
2,-4077.719999999972,7186.5099999997765,-2396.25,-89.67000000000006
3,-3894.4299999999935,6854.040000000035,-2406.37,-952.5099999999996
4,-3894.4299999999935,6854.040000000035,-2406.37,-1702.0899999999995
5,-3894.4299999999935,6854.040000000035,-2406.37,-749.5799999999997
6,-3894.4299999999935,6854.040000000035,-2406.37,-131.32999999999993
7,-3894.4299999999935,6854.040000000035,-2406.37,-133.45000000000027
8,-3894.4299999999935,6854.040000000035,-2406.37,-514.8900000000003
9,-3894.4299999999935,6854.040000000035,-2406.37,-440.22000000000025
10,-3894.4299999999935,6854.040000000035,-2406.37,-720.3000000000003
11,-3894.4299999999935,6854.040000000035,-2406.37,-2.1200000000003456
12,-3894.4299999999935,6854.040000000035,-2406.37,-383.5600000000004
13,-3894.4299999999935,6854.040000000035,-2406.37,-308.8900000000003
14,-3894.4299999999935,6854.040000000035,-2406.37,-588.9700000000003
15,-3894.4299999999935,6854.040000000035,-2406.37,-381.44000000000005
16,-3894.4299999999935,6854.040000000035,-2406.37,-306.77
17,-3894.4299999999935,6854.040000000035,-2406.37,-586.8499999999998
18,-3894.4299999999935,6854.040000000035,-2406.37,-205.40999999999985
19,-3894.4299999999935,6854.040000000035,-2406.37,-280.0799999999999
20,-6651.530000000028,4047.1699999999255,-2527.26,-1063.0699999999997
21,-6651.530000000028,4047.1699999999255,-2527.26,-2597.64
22,-6651.530000000028,4047.1699999999255,-2527.26,-1534.5700000000006
23,-6651.530000000028,4047.1699999999255,-2527.26,-391.96
24,-6651.530000000028,4047.1699999999255,-2527.26,-1007.3899999999994
25,-6651.530000000028,4047.1699999999255,-2527.26,-1314.5099999999998
26,-6651.530000000028,4047.1699999999255,-2527.26,-1426.89
27,-6651.530000000028,4047.1699999999255,-2527.26,-1539.06
28,-6651.530000000028,4047.1699999999255,-2527.26,-615.4299999999994
29,-6651.530000000028,4047.1699999999255,-2527.26,-922.5499999999997
30,-6651.530000000028,4047.1699999999255,-2527.26,-1034.9299999999996
31,-6651.530000000028,4047.1699999999255,-2527.26,-1147.1
32,-6651.530000000028,4047.1699999999255,-2527.26,-307.1200000000004
33,-6651.530000000028,4047.1699999999255,-2527.26,-419.5000000000005
34,-6651.530000000028,4047.1699999999255,-2527.26,-531.6700000000005
35,-6651.530000000028,4047.1699999999255,-2527.26,-112.38000000000014
36,-6651.530000000028,4047.1699999999255,-2527.26,-224.55000000000013
37,-6651.530000000028,4047.1699999999255,-2527.26,-112.17000000000007
38,-2702.780000000028,12178.280000000259,-2629.99,-567.6300000000001
39,-2702.780000000028,12178.280000000259,-2629.99,-1462.7799999999993
40,-2702.780000000028,12178.280000000259,-2629.99,-895.1499999999997
41,-2702.780000000028,12178.280000000259,-2629.99,-85.01000000000022
42,-2702.780000000028,12178.280000000259,-2629.99,-938.9800000000004
43,-2702.780000000028,12178.280000000259,-2629.99,-1121.33
44,-2702.780000000028,12178.280000000259,-2629.99,-820.54
45,-2702.780000000028,12178.280000000259,-2629.99,-2334.2500000000005
46,-2702.780000000028,12178.280000000259,-2629.99,-853.9700000000003
47,-2702.780000000028,12178.280000000259,-2629.99,-1036.3199999999997
48,-2702.780000000028,12178.280000000259,-2629.99,-735.5299999999997
49,-2702.780000000028,12178.280000000259,-2629.99,-2249.24
50,-2702.780000000028,12178.280000000259,-2629.99,-182.34999999999943
51,-2702.780000000028,12178.280000000259,-2629.99,-1395.27
52,-2702.780000000028,12178.280000000259,-2629.99,-1212.9200000000005
53,-2702.780000000028,12178.280000000259,-2629.99,-1513.7100000000007
54,-4552.650000000023,8101.370000000114,-2420.19,-420.29000000000036
55,-4552.650000000023,8101.370000000114,-2420.19,-2802.05
56,-4552.650000000023,8101.370000000114,-2420.19,-2381.76
57,-4552.650000000023,8101.370000000114,-2420.19,-906.4699999999997
58,-4552.650000000023,8101.370000000114,-2420.19,-1521.3399999999995
59,-4552.650000000023,8101.370000000114,-2420.19,-1691.11
60,-4552.650000000023,8101.370000000114,-2420.19,-1464.1699999999994
61,-4552.650000000023,8101.370000000114,-2420.19,-1243.8299999999995
62,-4552.650000000023,8101.370000000114,-2420.19,-614.8699999999999
63,-4552.650000000023,8101.370000000114,-2420.19,-784.6400000000001
64,-4552.650000000023,8101.370000000114,-2420.19,-557.7
65,-4552.650000000023,8101.370000000114,-2420.19,-337.3599999999999
