,x,y,Z,DeltaPressure
0,-2678.1300000000047,9389.910000000147,-2496.02,-2129.390000000001
1,-2678.1300000000047,9389.910000000147,-2496.02,-1353.34
2,-2678.1300000000047,9389.910000000147,-2496.02,-564.1400000000002
3,-2678.1300000000047,9389.910000000147,-2496.02,-572.79
4,-2678.1300000000047,9389.910000000147,-2496.02,-586.79
5,-2678.1300000000047,9389.910000000147,-2496.02,-874.0599999999995
6,-2678.1300000000047,9389.910000000147,-2496.02,-8.649999999999636
7,-2678.1300000000047,9389.910000000147,-2496.02,-22.649999999999643
8,-2678.1300000000047,9389.910000000147,-2496.02,-309.9199999999992
9,-2678.1300000000047,9389.910000000147,-2496.02,-14.0
10,-2678.1300000000047,9389.910000000147,-2496.02,-301.2699999999995
11,-2678.1300000000047,9389.910000000147,-2496.02,-287.2699999999995
12,-3153.729999999981,8607.660000000149,-2450.41,-450.5599999999995
13,-3153.729999999981,8607.660000000149,-2450.41,-651.6599999999999
14,-3153.729999999981,8607.660000000149,-2450.41,-201.10000000000042
15,-3153.729999999981,8607.660000000149,-2450.41,-46.77000000000044
16,-3153.729999999981,8607.660000000149,-2450.41,-110.85000000000036
17,-3153.729999999981,8607.660000000149,-2450.41,-156.69000000000003
18,-3153.729999999981,8607.660000000149,-2450.41,-159.37000000000037
19,-3153.729999999981,8607.660000000149,-2450.41,-134.9300000000003
20,-3153.729999999981,8607.660000000149,-2450.41,-64.07999999999993
21,-3153.729999999981,8607.660000000149,-2450.41,-109.91999999999962
22,-3153.729999999981,8607.660000000149,-2450.41,-112.59999999999992
23,-3153.729999999981,8607.660000000149,-2450.41,-88.15999999999985
24,-3153.729999999981,8607.660000000149,-2450.41,-45.83999999999968
25,-3153.729999999981,8607.660000000149,-2450.41,-48.51999999999998
26,-3153.729999999981,8607.660000000149,-2450.41,-24.079999999999927
27,-3153.729999999981,8607.660000000149,-2450.41,-2.680000000000291
28,-5045.709999999963,5528.240000000224,-2450.0,-743.8499999999997
29,-5045.709999999963,5528.240000000224,-2450.0,-1211.79
30,-5045.709999999963,5528.240000000224,-2450.0,-467.94000000000005
31,-5045.709999999963,5528.240000000224,-2450.0,-154.0600000000004
32,-5045.709999999963,5528.240000000224,-2450.0,-192.87000000000043
33,-5045.709999999963,5528.240000000224,-2450.0,-264.69000000000005
34,-5045.709999999963,5528.240000000224,-2450.0,-306.44000000000005
35,-5045.709999999963,5528.240000000224,-2450.0,-348.6100000000001
